State-Reporting,School Type-Original,Street Address-Line 2,Street Address-Line 1,Zip Code,State-Physical,School Level-Standardized,County,City,School ID,School Name,District ID,District Name,School Level-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Date,Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Operating Days-Lunch Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,Unique ID,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data
IN,Nonpublic,,615 N 8th St,47901,IN,Other,Tippecanoe,Lafayette,D435,St. James Lutheran School,K260,St James Lutheran School,PK-08,N,,N,,,10/1/2017,10,2017,269,222,34,13,,440,182,1402,,0,0,0,,,0,22,,,,,,,,,622,28.272727273,0,,IN@D435@K260,,SY17-18,,47,0.174721190,,,,,,,
IN,Nonpublic,,810 W Talmer,46366,IN,Other,Starke,North Judson,D375,St. Peter's Lutheran School,7515,North Judson-San Pierre Schools,PK-08,N,,N,,,10/1/2017,10,2017,92,49,31,12,,404,126,522,,0,0,0,,,0,17,,,,,,,,,530,31.176470588,0,,IN@D375@7515,,SY17-18,,43,0.467391304,,,,,,,
IN,Nonpublic,,207 N 6th Street,47635,IN,Other,Spencer,Rockport,D370,St. Bernard School,K251,St Bernard School,PK-08,N,,N,,,10/1/2017,10,2017,132,94,26,12,,474,187,1123,,0,0,0,,,0,22,,,,,,,,,661,30.045454545,0,,IN@D370@K251,,SY17-18,,38,0.287878788,,,,,,,
IN,Nonpublic,,4725 St Wendel-Cynthiana Rd,47638,IN,Other,Posey,Wadesville,D105,St. Wendel School,K234,St Wendel School,PK-08,N,,N,,,10/1/2017,10,2017,212,204,6,2,,108,29,2443,,0,0,0,,,0,20,,,,,,,,,137,6.85,0,,IN@D105@K234,,SY17-18,,8,0.037735849,,,,,,,
IN,Nonpublic,,3420 St Philip Rd S,47620,IN,Other,Posey,Mount Vernon,D100,St. Philip School,K233,St Philip Elementary School,PK-08,N,,N,,,10/1/2017,10,2017,196,188,8,0,,156,0,2721,,0,0,0,,,0,20,,,,,,,,,156,7.8,0,,IN@D100@K233,,SY17-18,,8,0.040816327,,,,,,,
IN,Nonpublic,,2929 Willowcreek Rd,46368,IN,Other,Porter,Portage,D065,Nativity of Our Savior School,K230,Nativity of Our Savior School,PK-08,N,,N,,,10/1/2017,10,2017,185,118,52,15,,723,129,642,,0,0,0,,,0,18,,,,,,,,,852,47.333333333,0,,IN@D065@K230,,SY17-18,,67,0.362162162,,,,,,,
IN,Nonpublic,,640 N Calumet Rd,46304,IN,Other,Porter,Chesterton,D050,St. Patrick School,6470,Duneland School Corporation,PK-08,N,,N,,,10/1/2017,10,2017,216,212,3,1,,43,18,1810,,0,0,0,,,0,21,,,,,,,,,61,2.904761905,0,,IN@D050@6470,,SY17-18,,4,0.018518519,,,,,,,
IN,Nonpublic,,232 N Main St Box 109,46710,IN,Other,Noble,Avilla,C980,St. Mary's School,K225,St Mary's School,PK-08,N,,N,,,10/1/2017,10,2017,119,95,11,13,,136,165,841,,0,0,0,,,0,16,,,,,,,,,301,18.8125,0,,IN@C980@K225,,SY17-18,,24,0.201680672,,,,,,,
IN,Nonpublic,,612 N Center St,46563,IN,Other,Marshall,Plymouth,C855,St. Michael School,5485,Plymouth Community School Corp,PK-08,N,,N,,,10/1/2017,10,2017,176,114,36,26,,506,373,1174,,0,0,0,,,0,17,,,,,,,,,879,51.705882353,0,,IN@C855@5485,,SY17-18,,62,0.352272727,,,,,,,
IN,Nonpublic,,30 S Downey Ave,46219,IN,Other,Marion,Indianapolis,C605,Our Lady of Lourdes School,K190,Our Lady of Lourdes School,PK-08,N,,N,,,10/1/2017,10,2017,261,199,44,18,,534,249,1533,,0,0,0,,,0,17,,,,,,,,,783,46.058823529,0,,IN@C605@K190,,SY17-18,,62,0.237547893,,,,,,,
IN,Nonpublic,,9201 E County Road 100 N,46123,IN,Other,Hendricks,Avon,C512,Our Shepherd Lutheran School,3315,Avon Community School Corporation,PK-08,N,,N,,,10/1/2017,10,2017,163,130,27,6,,193,32,324,,0,0,0,,,0,12,,,,,,,,,225,18.75,0,,IN@C512@3315,,SY17-18,,33,0.202453988,,,,,,,
IN,Nonpublic,,6602 Hoover Rd,46260,IN,Other,Marion,Indianapolis,C475,The Hasten Hebrew Academy,K180,The Hasten Hebrew Academy,PK-08,N,,N,,,10/1/2017,10,2017,153,118,24,11,,400,149,1824,,0,0,0,,,0,18,,,,,,,,,549,30.5,0,,IN@C475@K180,,SY17-18,,35,0.228758170,,,,,,,
IN,Nonpublic,,2910 E 62nd St,46220,IN,Other,Marion,Indianapolis,C455,Indianapolis Junior Academy,K394,Indianapolis Junior Academy,PK-08,N,,N,,,10/1/2017,10,2017,98,12,77,9,,1302,107,107,,0,0,0,,,0,20,,,,,,,,,1409,70.45,0,,IN@C455@K394,,SY17-18,,86,0.877551020,,,,,,,
IN,Nonpublic,,4100 E 56th St,46220,IN,Other,Marion,Indianapolis,C440,Saint Matthew School,K176,Saint Matthew School,PK-08,N,,N,,,10/1/2017,10,2017,366,282,78,6,,1407,109,2943,,0,0,0,,,0,20,,,,,,,,,1516,75.8,0,,IN@C440@K176,,SY17-18,,84,0.229508197,,,,,,,
IN,Nonpublic,,541 E Edgewood Ave,46227,IN,Other,Marion,Indianapolis,C305,St. Mark Catholic School,K168,St Mark School,PK-08,N,,N,,,10/1/2017,10,2017,368,167,153,48,,2365,740,1630,,0,0,0,,,0,17,,,,,,,,,3105,182.647058824,0,,IN@C305@K168,,SY17-18,,201,0.546195652,,,,,,,
IN,Nonpublic,,8300 Rahke Rd,46217,IN,Other,Marion,Indianapolis,C295,St. Barnabas School,K166,St Barnabas School,PK-08,N,,N,,,10/1/2017,10,2017,586,527,39,20,,523,268,4534,,0,0,0,,,0,17,,,,,,,,,791,46.529411765,0,,IN@C295@K166,,SY17-18,,59,0.100682594,,,,,,,
IN,Nonpublic,,820 W Madison St,46001,IN,Other,Madison,Alexandria,C190,St. Mary's School,K154,St Mary School,PK-08,N,,N,,,10/1/2017,10,2017,89,67,21,1,,210,12,733,,0,0,0,,,0,12,,,,,,,,,222,18.5,0,,IN@C190@K154,,SY17-18,,22,0.247191011,,,,,,,
IN,Nonpublic,,111 Kingsbury Ave,46350,IN,Other,LaPorte,LaPorte,C150,St. John Lutheran School,K149,St John's Lutheran School,PK-08,N,,N,,,10/1/2017,10,2017,125,85,31,9,,434,160,705,,0,0,0,,,0,20,,,,,,,,,594,29.7,0,,IN@C150@K149,,SY17-18,,40,0.32,,,,,,,
IN,Nonpublic,,1715 E Barker Ave,46360,IN,Other,LaPorte,Michigan City,C110,Queen of All Saints School,K388,Queen of All Saints School,PK-08,N,,N,,,10/1/2017,10,2017,165,77,70,18,,860,244,238,,0,0,0,,,0,20,,,,,,,,,1104,55.2,0,,IN@C110@K388,,SY17-18,,88,0.533333333,,,,,,,
IN,Nonpublic,,8601 Harrison Ave,46321,IN,Other,Lake,Munster,C065,St. Paul's Lutheran School,4740,School Town of Munster,PK-08,N,,N,,,10/1/2017,10,2017,169,126,38,5,,616,76,1238,,0,0,0,,,0,19,,,,,,,,,692,36.421052632,0,,IN@C065@4740,,SY17-18,,43,0.254437870,,,,,,,
IN,Nonpublic,,8435 Calumet Ave,46321,IN,Other,Lake,Munster,C060,St. Thomas More School,K145,Saint Thomas More School,PK-08,N,,N,,,10/1/2017,10,2017,447,390,47,10,,684,135,3606,,0,0,0,,,0,20,,,,,,,,,819,40.95,0,,IN@C060@K145,,SY17-18,,57,0.127516779,,,,,,,
IN,Nonpublic,,891 S Linda St,46342,IN,Other,Lake,Hobart,C050,Trinity Lutheran School,K144,Trinity Lutheran School,PK-08,N,,N,,,10/1/2017,10,2017,0,0,0,0,,0,0,0,,0,0,0,,,0,0,,,,,,,,,0,,0,,IN@C050@K144,,SY17-18,,0,,,,,,,,
IN,Nonpublic,,3025 Highway Ave,46322,IN,Other,Lake,Highland,C025,Our Lady of Grace School,K142,Our Lady of Grace School,PK-08,N,,N,,,10/1/2017,10,2017,152,62,84,6,,1493,116,376,,0,0,0,,,0,20,,,,,,,,,1609,80.45,0,,IN@C025@K142,,SY17-18,,90,0.592105263,,,,,,,
IN,Nonpublic,,3040 Ridge Rd,46322,IN,Other,Lake,Highland,C020,Highland Christian School,K141,Highland Christian School,PK-08,N,,N,,,10/1/2017,10,2017,0,0,0,0,,0,0,0,,0,0,0,,,0,0,,,,,,,,,0,,0,,IN@C020@K141,,SY17-18,,0,,,,,,,,
IN,Nonpublic,,1844 Lincoln Ave,46394,IN,Other,Lake,Whiting,B965,St. John The Baptist Catholic,K140,St John The Baptist Catholic School,PK-08,N,,N,,,10/1/2017,10,2017,347,220,97,30,,1473,449,1993,,0,0,0,,,0,20,,,,,,,,,1922,96.1,0,,IN@B965@K140,,SY17-18,,127,0.365994236,,,,,,,
IN,Nonpublic,,1231 171st Pl,46324,IN,Other,Lake,Hammond,B960,Saint John Bosco School,K139,St John Bosco School,PK-08,N,,N,,,10/1/2017,10,2017,216,68,127,21,,1837,278,431,,0,0,0,,,0,20,,,,,,,,,2115,105.75,0,,IN@B960@K139,,SY17-18,,148,0.685185185,,,,,,,
IN,Nonpublic,,525 N Broad St,46319,IN,Other,Lake,Griffith,B930,Saint Mary School,K137,Saint Mary School,PK-08,N,,N,,,10/1/2017,10,2017,0,0,0,0,,0,0,0,,0,0,0,,,0,0,,,,,,,,,0,,0,,IN@B930@K137,,SY17-18,,0,,,,,,,,
IN,Nonpublic,,250 S Indiana Ave,46307,IN,Other,Lake,Crown Point,B850,Trinity Lutheran School,4660,Crown Point Community School Corp,PK-08,N,,N,,,10/1/2017,10,2017,232,172,39,21,,440,146,969,,0,0,0,,,0,17,,,,,,,,,586,34.470588235,0,,IN@B850@4660,,SY17-18,,60,0.258620690,,,,,,,
IN,Nonpublic,,405 E Joliet St,46307,IN,Other,Lake,Crown Point,B835,St. Mary's School,4660,Crown Point Community School Corp,PK-08,N,,N,,,10/1/2017,10,2017,449,400,38,11,,368,97,2925,,0,0,0,,,0,17,,,,,,,,,465,27.352941176,0,,IN@B835@4660,,SY17-18,,49,0.109131403,,,,,,,
IN,Nonpublic,,9400 Wicker Ave,46373,IN,Other,Lake,St John,B780,St. John's School,4615,Lake Central School Corporation,PK-08,N,,N,,,10/1/2017,10,2017,291,276,7,8,,108,118,2034,,0,0,0,,,0,20,,,,,,,,,226,11.3,0,,IN@B780@4615,,SY17-18,,15,0.051546392,,,,,,,
IN,Nonpublic,,10550 Park Place,46373,IN,Other,Lake,St John,B771,Crown Point Christian School,K127,Crown Point Christian School,PK-08,N,,N,,,10/1/2017,10,2017,0,0,0,0,,0,0,0,,0,0,0,,,0,0,,,,,,,,,0,,0,,IN@B771@K127,,SY17-18,,0,,,,,,,,
IN,Nonpublic,,399 S Meridan St,46143,IN,Other,Johnson,Greenwood,B535,Our Lady of the Greenwood,K118,Our Lady of Greenwood,PK-08,N,,N,,,10/1/2017,10,2017,312,203,71,38,,865,506,2209,,0,0,0,,,0,17,,,,,,,,,1371,80.647058824,0,,IN@B535@K118,,SY17-18,,109,0.349358974,,,,,,,
IN,Nonpublic,,114 Lancelot Dr,46131,IN,Other,Johnson,Franklin,B518,St Rose of Lima School,K117,St Rose of Lima School,PK-08,N,,N,,,10/1/2017,10,2017,190,114,54,22,,778,267,985,,0,0,0,,,0,17,,,,,,,,,1045,61.470588235,0,,IN@B518@K117,,SY17-18,,76,0.4,,,,,,,
IN,Nonpublic,,209 Washington St,47265,IN,Other,Jennings,North Vernon,B515,Saint Mary's School,4015,Jennings County School Corp,PK-08,N,,N,,,10/1/2017,10,2017,178,151,18,9,,229,116,1441,,0,0,0,,,0,16,,,,,,,,,345,21.5625,0,,IN@B515@4015,,SY17-18,,27,0.151685393,,,,,,,
IN,Nonpublic,,PO Box 430,46310,IN,Other,Jasper,Demotte,B470,DeMotte Christian School,K110,Demotte Christian School,PK-08,N,,N,,,10/1/2017,10,2017,0,0,0,0,,0,0,0,,0,0,0,,,0,0,,,,,,,,,0,,0,,IN@B470@K110,,SY17-18,,0,,,,,,,,
IN,Nonpublic,,415 N Elm St,47220,IN,Other,Jackson,Brownstown,B465,Lutheran Central School,K107,Lutheran Central School,PK-08,N,,N,,,10/1/2017,10,2017,128,120,7,1,,86,17,1503,,0,0,0,,,0,17,,,,,,,,,103,6.058823529,0,,IN@B465@K107,,SY17-18,,8,0.0625,,,,,,,
IN,Nonpublic,,1058 S 460 E,47274,IN,Other,Jackson,Seymour,B450,St John's Lutheran School,K106,St John's Lutheran School,PK-08,N,,N,,,10/1/2017,10,2017,86,76,6,4,,110,74,1177,,0,0,0,,,0,20,,,,,,,,,184,9.2,0,,IN@B450@K106,,SY17-18,,10,0.116279070,,,,,,,
IN,Nonpublic,,301 S Chestnut St,47274,IN,Other,Jackson,Seymour,B440,St. Ambrose School,K104,St Ambrose School,PK-08,N,,N,,,10/1/2017,10,2017,126,66,48,12,,628,147,702,,0,0,0,,,0,19,,,,,,,,,775,40.789473684,0,,IN@B440@K104,,SY17-18,,60,0.476190476,,,,,,,
IN,Nonpublic,,3155 S CR 200 W,46902,IN,Other,Howard,Kokomo,B395,Sts. Joan of Arc,K100,Sts Joan of Arc And Patrick School,PK-08,N,,N,,,10/1/2017,10,2017,262,163,80,19,,1025,236,1403,,0,0,0,,,0,17,,,,,,,,,1261,74.176470588,0,,IN@B395@K100,,SY17-18,,99,0.377862595,,,,,,,
IN,Nonpublic,,705 Southway Blvd E,46902,IN,Other,Howard,Kokomo,B367,Redeemer Lutheran School,K310,Redeemer Lutheran School,PK-08,N,,N,,,10/1/2017,10,2017,124,71,44,9,,689,153,587,,0,0,0,,,0,20,,,,,,,,,842,42.1,0,,IN@B367@K310,,SY17-18,,53,0.427419355,,,,,,,
IN,Nonpublic,,1212 E Main St,46168,IN,Other,Hendricks,Plainfield,B300,Saint Susanna School,K094,St Susanna School,PK-08,N,,N,,,10/1/2017,10,2017,253,207,36,10,,311,132,1236,,0,0,0,,,0,16,,,,,,,,,443,27.6875,0,,IN@B300@K094,,SY17-18,,46,0.181818182,,,,,,,
IN,Nonpublic,,7410 N County Road 1000 E,46112,IN,Other,Hendricks,Brownsburg,B285,St. Malachy School,K093,St Malachy School,PK-08,N,,N,,,10/1/2017,10,2017,467,417,29,21,,353,301,3054,,0,0,0,,,0,17,,,,,,,,,654,38.470588235,0,,IN@B285@K093,,SY17-18,,50,0.107066381,,,,,,,
IN,Nonpublic,,515 Jefferson Blvd,46140,IN,Other,Hancock,Greenfield,B265,St. Michael School,K089,St Michael School,PK-08,N,,N,,,10/1/2017,10,2017,175,142,25,8,,192,70,818,,0,0,0,,,0,11,,,,,,,,,262,23.818181818,0,,IN@B265@K089,,SY17-18,,33,0.188571429,,,,,,,
IN,Nonpublic,,12394 S 40 W,47639,IN,Other,Gibson,Haubstadt,B120,St. James School,K076,St James School,PK-08,N,,N,,,10/1/2017,10,2017,205,196,8,1,,138,18,2506,,0,0,0,,,0,20,,,,,,,,,156,7.8,0,,IN@B120@K076,,SY17-18,,9,0.043902439,,,,,,,
IN,Nonpublic,,275 High St,47012,IN,Other,Franklin,Brookville,B095,St. Michael School,K073,St Michael School,PK-08,N,,N,,,10/1/2017,10,2017,210,190,14,6,,184,79,1769,,0,0,0,,,0,16,,,,,,,,,263,16.4375,0,,IN@B095@K073,,SY17-18,,20,0.095238095,,,,,,,
IN,Nonpublic,,3033 Martin Rd,47119,IN,Other,Floyd,Floyds Knobs,B067,St Mary of the Knobs,K326,St Mary of the Knobs Catholic School,PK-08,N,,N,,,10/1/2017,10,2017,257,243,9,5,,84,14,1233,,0,0,0,,,0,12,,,,,,,,,98,8.166666667,0,,IN@B067@K326,,SY17-18,,14,0.054474708,,,,,,,
IN,Nonpublic,,1752 Scheller Ln,47150,IN,Other,Floyd,New Albany,B060,Our Lady of Perpetual Help School,K070,Our Lady of Perpetual Help School,PK-08,N,,N,,,10/1/2017,10,2017,364,323,36,5,,332,41,2219,,0,0,0,,,0,12,,,,,,,,,373,31.083333333,0,,IN@B060@K070,,SY17-18,,41,0.112637363,,,,,,,
IN,Nonpublic,,217 W Daisy Ln,47150,IN,Other,Floyd,New Albany,B050,Holy Family School,K069,Holy Family School,PK-08,N,,N,,,10/1/2017,10,2017,288,251,30,7,,268,51,1240,,0,0,0,,,0,12,,,,,,,,,319,26.583333333,0,,IN@B050@K069,,SY17-18,,37,0.128472222,,,,,,,
IN,Nonpublic,,30888 CR 6,46514,IN,Other,Elkhart,Elkhart,A985,Trinity Lutheran School,7175,Penn-Harris-Madison School Corp,PK-08,N,,N,,,10/1/2017,10,2017,201,194,4,3,,40,34,551,,0,0,0,,,0,17,,,,,,,,,74,4.352941176,0,,IN@A985@7175,,SY17-18,,7,0.034825871,,,,,,,
IN,Nonpublic,,2301 W Gilbert St,47303,IN,Other,Delaware,Muncie,A795,St Mary School,K056,St Mary School,PK-08,N,,N,,,10/1/2017,10,2017,178,116,42,20,,483,173,341,,0,0,0,,,0,17,,,,,,,,,656,38.588235294,0,,IN@A795@K056,,SY17-18,,62,0.348314607,,,,,,,
IN,Nonpublic,,1331 Hunter Robbins Way,47240,IN,Other,Decatur,Greensburg,A730,St Mary School,K053,St Mary School,PK-08,N,,N,,,10/1/2017,10,2017,269,220,41,8,,501,85,2762,,0,0,0,,,0,15,,,,,,,,,586,39.066666667,0,,IN@A730@K053,,SY17-18,,49,0.182156134,,,,,,,
IN,Nonpublic,,524 Walnut St,47025,IN,Other,Dearborn,Lawrenceburg,A700,St Lawrence School,K052,St Lawrence School,PK-08,N,,N,,,10/1/2017,10,2017,181,157,13,11,,114,109,1037,,0,0,0,,,0,12,,,,,,,,,223,18.583333333,0,,IN@A700@K052,,SY17-18,,24,0.132596685,,,,,,,
IN,Nonpublic,,1842 E 8th St,47130,IN,Other,Clark,Jeffersonville,A570,Sacred Heart School,K044,Sacred Heart of Jesus School,PK-08,N,,N,,,10/1/2017,10,2017,193,144,37,12,,242,108,1186,,0,0,0,,,0,12,,,,,,,,,350,29.166666667,0,,IN@A570@K044,,SY17-18,,49,0.253886010,,,,,,,
IN,Nonpublic,,320 N Sherwood Ave,47129,IN,Other,Clark,Clarksville,A560,St. Anthony School,K043,St Anthony School,PK-08,N,,N,,,10/1/2017,10,2017,231,118,78,35,,856,380,1253,,0,0,0,,,0,12,,,,,,,,,1236,103,0,,IN@A560@K043,,SY17-18,,113,0.489177489,,,,,,,
IN,Nonpublic,,105 St Paul St,47172,IN,Other,Clark,Sellersburg,A550,St. John Paul II Catholic School,K041,St John Paul II Catholic School,PK-08,N,,N,,,10/1/2017,10,2017,314,280,22,12,,217,108,2016,,0,0,0,,,0,12,,,,,,,,,325,27.083333333,0,,IN@A550@K041,,SY17-18,,34,0.108280255,,,,,,,
IN,Nonpublic,,Box 159 4502 SR 101 N,46797,IN,Other,Allen,Woodburn,A375,Woodburn Lutheran School,K028,Woodburn Lutheran School,PK-08,N,,N,,,10/1/2017,10,2017,122,91,23,8,,428,168,1257,,0,0,0,,,0,21,,,,,,,,,596,28.380952381,0,,IN@A375@K028,,SY17-18,,31,0.254098361,,,,,,,
IN,Nonpublic,,900 Green Street,46774,IN,Other,Allen,New Haven,A370,Central Lutheran School,K027,Central Lutheran School,PK-08,N,,N,,,10/1/2017,10,2017,412,344,45,23,,727,346,4813,,0,0,0,,,0,21,,,,,,,,,1073,51.095238095,0,,IN@A370@K027,,SY17-18,,68,0.165048544,,,,,,,
IN,Nonpublic,,12912 Franke Rd,46773,IN,Other,Allen,Monroeville,A365,St John-Emmanuel Lutheran School,K026,St John-Emmanuel Lutheran School,PK-08,N,,N,,,10/1/2017,10,2017,138,108,18,12,,240,201,1088,,0,0,0,,,0,20,,,,,,,,,441,22.05,0,,IN@A365@K026,,SY17-18,,30,0.217391304,,,,,,,
IN,Nonpublic,,15529 E Lincoln Hwy,46774,IN,Other,Allen,New Haven,A360,St. Louis Catholic,K025,St Louis Academy,PK-08,N,,N,,,10/1/2017,10,2017,160,91,39,30,,627,426,1180,,0,0,0,,,0,20,,,,,,,,,1053,52.65,0,,IN@A360@K025,,SY17-18,,69,0.43125,,,,,,,
IN,Nonpublic,,204 S Rufus St,46774,IN,Other,Allen,New Haven,A355,St John the Baptist School,K334,St John the Baptist School,PK-08,N,,N,,,10/1/2017,10,2017,232,165,50,17,,886,273,1387,,0,0,0,,,0,19,,,,,,,,,1159,61,0,,IN@A355@K334,,SY17-18,,67,0.288793103,,,,,,,
IN,Nonpublic,,11521 Old US 27 S,46816,IN,Other,Allen,Fort Wayne,A350,St. Joseph Hessen Cassel School,K023,St Joseph-Hessen Cassel School,PK-08,N,,N,,,10/1/2017,10,2017,135,104,19,12,,366,219,1607,,0,0,0,,,0,23,,,,,,,,,585,25.434782609,0,,IN@A350@K023,,SY17-18,,31,0.229629630,,,,,,,
IN,Nonpublic,,14607 Bluffton Rd,46798,IN,Other,Allen,Yoder,A270,St Aloysius Catholic School,0235,Fort Wayne Community Schools,PK-08,N,,N,,,10/1/2017,10,2017,101,83,7,11,,102,32,231,,0,0,0,,,0,20,,,,,,,,,134,6.7,0,,IN@A270@0235,,SY17-18,,18,0.178217822,,,,,,,
IN,Nonpublic,,8626 Covington Rd,46804,IN,Other,Allen,Fort Wayne,A220,Emmaus Lutheran School,K017,Emmaus Lutheran School,PK-08,N,,N,,,10/1/2017,10,2017,238,172,47,19,,697,314,967,,0,0,0,,,0,21,,,,,,,,,1011,48.142857143,0,,IN@A220@K017,,SY17-18,,66,0.277310924,,,,,,,
IN,Nonpublic,,4245 Lake Ave,46815,IN,Other,Allen,Fort Wayne,A205,Concordia Lutheran Grade School,K014,Concordia Lutheran Grade School,PK-08,N,,N,,,10/1/2017,10,2017,428,259,122,47,,1968,783,2607,,0,0,0,,,0,21,,,,,,,,,2751,131,0,,IN@A205@K014,,SY17-18,,169,0.394859813,,,,,,,
IN,Nonpublic,,4500 Fairfield Ave,46807,IN,Other,Allen,Fort Wayne,A150,St John the Baptist Catholic School,0235,Fort Wayne Community Schools,PK-08,N,,N,,,10/1/2017,10,2017,238,163,60,15,,880,215,66,,0,0,0,,,0,20,,,,,,,,,1095,54.75,0,,IN@A150@0235,,SY17-18,,75,0.315126050,,,,,,,
IN,Nonpublic,,1600 W State Blvd,46808,IN,Other,Allen,Fort Wayne,A135,Queen of Angels Catholic School,0235,Fort Wayne Community Schools,PK-08,N,,N,,,10/1/2017,10,2017,132,27,74,31,,1132,345,322,,0,0,0,,,0,17,,,,,,,,,1477,86.882352941,0,,IN@A135@0235,,SY17-18,,105,0.795454545,,,,,,,
IN,Nonpublic,,1529 Barthold St,46808,IN,Other,Allen,Fort Wayne,A130,Precious Blood School,K008,Precious Blood School,PK-08,N,,N,,,10/1/2017,10,2017,269,157,88,24,,1352,265,1332,,0,0,0,,,0,20,,,,,,,,,1617,80.85,0,,IN@A130@K008,,SY17-18,,112,0.416356877,,,,,,,
IN,Nonpublic,,11565 N US Hwy 27,46733,IN,Other,Adams,Decatur,A045,Wyneken Memorial Lutheran School,K001,Wyneken Memorial Lutheran School,PK-08,N,,N,,,10/1/2017,10,2017,245,233,10,2,,101,18,2712,,0,0,0,,,0,19,,,,,,,,,119,6.263157895,0,,IN@A045@K001,,SY17-18,,12,0.048979592,,,,,,,
IN,Public,,7356 E County Road 50 S,47848,IN,Other,Sullivan,Dugger,7952,Dugger Union Community School,9950,Dugger Union Community School Corp,KG-12,N,,N,,,10/1/2017,10,2017,360,128,208,24,,2179,176,566,,0,0,0,,,0,20,,,,,,,,,2355,117.75,0,,IN@7952@9950,180016502590,SY17-18,,232,0.644444444,Public,,,,,,
IN,Public,,800 Canonie Dr,46304,IN,Other,Porter,Porter,6824,Discovery Charter School,9870,Discovery Charter School,KG-08,N,,N,,,10/1/2017,10,2017,531,420,89,22,,1121,406,2548,,0,0,0,,,0,20,,,,,,,,,1527,76.35,0,,IN@6824@9870,180008802495,SY17-18,,111,0.209039548,Public,,,,,,
IN,Public,,158 E 1025 S,47639,IN,Other,Gibson,Haubstadt,2205,Haubstadt Public School,2765,South Gibson School Corp,KG-08,N,,N,,,10/1/2017,10,2017,373,320,31,22,,504,360,5295,,0,0,0,,,0,20,,,,,,,,,864,43.2,0,,IN@2205@2765,181035001689,SY17-18,,53,0.142091153,Public,,,,,,
IN,Nonpublic,,1303 S Green River Rd,47715,IN,Other,Vanderburgh,Evansville,D565,Holy Rosary School,K274,Holy Rosary School,KG-08,N,,N,,,10/1/2017,10,2017,408,330,58,20,,968,312,3330,,0,0,0,,,0,20,,,,,,,,,1280,64,0,,IN@D565@K274,,SY17-18,,78,0.191176471,,,,,,,
IN,Nonpublic,,1700 N Monticello,46383,IN,Other,Porter,Valparaiso,D090,Immanuel Lutheran School,K231,Immanuel Lutheran School,KG-08,N,,N,,,10/1/2017,10,2017,148,131,16,1,,303,17,1209,,0,0,0,,,0,21,,,,,,,,,320,15.238095238,0,,IN@D090@K231,,SY17-18,,17,0.114864865,,,,,,,
IN,Nonpublic,,4600 N Illinois St,46208,IN,Other,Marion,Indianapolis,C675,St. Thomas Aquinas School,K201,St Thomas Aquinas School,KG-08,N,,N,,,10/1/2017,10,2017,0,0,0,0,,0,0,0,,0,0,0,,,0,0,,,,,,,,,0,,0,,IN@C675@K201,,SY17-18,,0,,,,,,,,
IN,Nonpublic,,317 E 57th St,46220,IN,Other,Marion,Indianapolis,C600,Immaculate Heart of Mary School,K189,Immaculate Heart of Mary School,KG-08,N,,N,,,10/1/2017,10,2017,0,0,0,0,,0,0,0,,0,0,0,,,0,0,,,,,,,,,0,,0,,IN@C600@K189,,SY17-18,,0,,,,,,,,
IN,Nonpublic,,5884 N Crittenden Ave,46220,IN,Other,Marion,Indianapolis,C585,Christ the King School,K186,Christ The King School,KG-08,N,,N,,,10/1/2017,10,2017,0,0,0,0,,0,0,0,,0,0,0,,,0,0,,,,,,,,,0,,0,,IN@C585@K186,,SY17-18,,0,,,,,,,,
IN,Nonpublic,,7200 Sarto Dr,46240,IN,Other,Marion,Indianapolis,C450,St. Pius X School,K178,Saint Pius X School,KG-08,N,,N,,,10/1/2017,10,2017,0,0,0,0,,0,0,0,,0,0,0,,,0,0,,,,,,,,,0,,0,,IN@C450@K178,,SY17-18,,0,,,,,,,,
IN,Nonpublic,,7650 N Illinois St,46260,IN,Other,Marion,Indianapolis,C435,St. Luke School,K175,St Luke Catholic School,KG-08,N,,N,,,10/1/2017,10,2017,602,562,26,14,,268,188,4025,,0,0,0,,,0,19,,,,,,,,,456,24,0,,IN@C435@K175,,SY17-18,,40,0.066445183,,,,,,,
