IRN,ORGANIZATION NAME,SCHOOL TYPE,GRADE SPAN,ORGANIZATION TYPE,ORGANIZATION CATEGORY,STATUS,DESIGNATED COUNTY,WEB URL,ORG EMAIL ADDRESS,ORG MAILING ADDRESS,ORG PHONE,ORG FAX,SUPERINTENDENT,SUPERINTENDENT EMAIL,SUPERINTENDENT PHONE,TREASURER,TREASURER EMAIL,TREASURER PHONE,PRINCIPAL,PRINCIPAL EMAIL,PRINCIPAL PHONE,PARENT IRN,PARENT ORGANIZATION NAME
007450,Crooksville Middle School,Middle School,5-8,Public School,School,Open,Perry,N/A,N/A,"12400 Tunnel Hill Rd, Crooksville, Ohio, 43731",(740) 982-7010,(740) 982-5087,N/A,N/A,N/A,N/A,N/A,N/A,John Toeller,john.toeller@crooksville.k12.oh.us,(740) 982-7010,045351,Crooksville Exempted Village
007492,Covedale Elementary School,Elementary School,K-6,Public School,School,Open,Hamilton,N/A,N/A,"5130 Sidney Rd, Cincinnati, Ohio, 45238",(513) 363-1700,(513) 363-1720,N/A,N/A,N/A,N/A,N/A,N/A,Michele Kipp,michelekipp@comcast.net,(513) 703-6464,043752,Cincinnati City
007526,Covington Elementary School,Elementary School,"K-6,P",Public School,School,Open,Miami,N/A,N/A,"807 Chestnut St, Covington, Ohio, 45318",(937) 473-2252,(937) 473-3685,N/A,N/A,N/A,N/A,N/A,N/A,Josh Long,longj@covingtonk12.org,(937) 418--626,045336,Covington Exempted Village
007526,Covington Elementary School,Site Based School,"K-6,P",Public School,School,Open,Miami,N/A,N/A,"807 Chestnut St, Covington, Ohio, 45318",(937) 473-2252,(937) 473-3685,N/A,N/A,N/A,N/A,N/A,N/A,Josh Long,longj@covingtonk12.org,(937) 418--626,045336,Covington Exempted Village
007534,Covington High School,High School,9-12,Public School,School,Open,Miami,N/A,N/A,"807 Chestnut St, Covington, Ohio, 45318",(937) 473-3746,(937) 473-3730,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,045336,Covington Exempted Village
007534,Covington High School,Site Based School,9-12,Public School,School,Open,Miami,N/A,N/A,"807 Chestnut St, Covington, Ohio, 45318",(937) 473-3746,(937) 473-3730,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,045336,Covington Exempted Village
007542,Cox Elementary School,Elementary School,K-5,Public School,School,Open,Greene,N/A,lpeterso@xenia.k12.oh.us,"506 Dayton Ave, Xenia, Ohio, 45385",(937) 372-9201,(937) 374-4723,N/A,N/A,N/A,N/A,N/A,N/A,Lisa Peterson,lpeterso@xenia.k12.oh.us,(937) 372-9201,045153,Xenia Community City
007559,Coy Elementary School,Elementary School,K-4,Public School,School,Open,Lucas,http://www.oregoncityschools.org,N/A,"3604 Pickle Rd, Oregon, Ohio, 43616",(419) 693-0624,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Amy Molnar,amolnar@oregoncs.org,(419) 693-0624,044602,Oregon City
007567,Cranbrook Elementary School,Elementary School,K-5,Public School,School,Open,Franklin,N/A,N/A,"908 Bricker Blvd, Columbus, Ohio, 43221",(614) 365-5497,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Stanley Embry,sembryjr@columbus.k12.oh.us,(614) 264-6206,043802,Columbus City School District
007609,Creekview Elementary School,Elementary School,"K-5,P",Public School,School,Open,Butler,http://www.middletowncityschools.com,N/A,"4800 Timber Trail Dr, Middletown, Ohio, 45044",(513) 420-4544,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Kelly Wilham,kwilham@middletowncityschools.com,(513) 420-4544,044404,Middletown City
007617,Crestline High School,High School,6-12,Public School,School,Open,Crawford,N/A,N/A,"435 Oldfield Rd, Crestline, Ohio, 44827",(419) 683-3647,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Dale Strickler,strickler.keith@crestline.k12.oh.us,(419) 566-3480,045344,Crestline Exempted Village
007625,Norwayne Middle School,Middle School,6-8,Public School,School,Open,Wayne,N/A,N/A,"350 S Main St, Creston, Ohio, 44217",(330) 435-1195,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Kevin Leatherman,nrcn_leather@tccsa.net,(330) 925-8307,050567,Norwayne Local
007633,Crestview Elementary School,Elementary School,K-5,Public School,School,Open,Medina,N/A,N/A,"300 W 130th St, Brunswick, Ohio, 44212",(330) 273-0482,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jamie Schulke,jschulke@bcsoh.org,(440) 236-    ,043661,Brunswick City
007658,Crestview High School,High School,9-12,Public School,School,Open,Columbiana,N/A,N/A,"44100 Crestview Rd Ste B, Columbiana, Ohio, 44408",(330) 482-4744,(330) 482-5369,N/A,N/A,N/A,N/A,N/A,N/A,Lynda Dickson,ldickson@crestviewlocal.k12.oh.us,(330) 482-4744,046433,Crestview Local
007666,Crestview High School,High School,9-12,Public School,School,Open,Van Wert,N/A,N/A,"531 E Tully St, Convoy, Ohio, 45832",(419) 749-9100,(419) 749-2484,N/A,N/A,N/A,N/A,N/A,N/A,Michael Biro,Biro.Mike@crestviewknights.com,(419) 749-9100,050351,Crestview Local
007674,Crestview High School,High School,9-12,Public School,School,Open,Richland,http://www.crestviewschool.net,ditleveson.andrew@crestviewschools.net,"1575 State Route 96, Ashland, Ohio, 44805",(419) 895-1700,(419) 895-1733,N/A,N/A,N/A,N/A,N/A,N/A,ANDREW Ditlevson,ditlevson.andrew@crestviewschools.net,(419) 606-7123,049429,Crestview Local
007690,Crestview Elementary School,Elementary School,K-5,Public School,School,Open,Van Wert,N/A,N/A,"531 E Tully St, Convoy, Ohio, 45832",(419) 749-9100,(419) 749-2026,N/A,N/A,N/A,N/A,N/A,N/A,Kathleen Mollenkopf,mollenkopf.kathy@crestviewknights.com,(419) 749-9100,050351,Crestview Local
007716,Crestwood Elementary School,Elementary School,K-5,Public School,School,Open,Lorain,N/A,N/A,"42331 Griswold Rd, Elyria, Ohio, 44035",(440) 284-8002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,STEVEN Grossman,grossmansteven@elyriaschools.org,(724) 650-6522,043943,Elyria City Schools
007724,Crestwood High School,High School,9-12,Public School,School,Open,Portage,N/A,N/A,"10919 Main St, Mantua, Ohio, 44255",(330) 274-2214,(330) 274-3150,N/A,N/A,N/A,N/A,N/A,N/A,David McMahon,dave.mcmahon@hotmail.com,(330) 559-8802,049189,Crestwood Local
007757,Cridersville Elementary School,Elementary School,"K-4,P",Public School,School,Open,Auglaize,N/A,N/A,"501 Reichelderfer Road, Cridersville, Ohio, 45806",(419) 645-3000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Misty Baker,bakemi@wapak.org,(419) 331-0933,044982,Wapakoneta City
007773,Crim Elementary School,Elementary School,K-5,Public School,School,Open,Wood,http://www.bgcs.k12.oh.us,akaraffa@bgcs.k12.oh.us,"1020 Scott Hamilton Ave, Bowling Green, Ohio, 43402",(419) 354-0400,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Alyssa Karaffa,akaraffa@bgcs.k12.oh.us,(419) 354-0300,043638,Bowling Green City School District
007799,Crissey Elementary School,Elementary School,K-5,Public School,School,Open,Lucas,N/A,N/A,"9220 Geiser Rd, Holland, Ohio, 43528",(419) 867-5677,(419) 867-5739,N/A,N/A,N/A,N/A,N/A,N/A,Oatis Amick,oatisamick@yahoo.com,(419) 787-8441,048223,Springfield Local
007815,Croghan Elementary School,Elementary School,K-5,Public School,School,Open,Sandusky,N/A,piercel@fremontschools.net,"1110 Chestnut St, Fremont, Ohio, 43420",(419) 332-1511,(419) 332-4314,N/A,N/A,N/A,N/A,N/A,N/A,Lori Pierce,piercel@fremontschools.net,(419) 334-5444,044016,Fremont City
007823,Crooksville High School,High School,9-12,Public School,School,Open,Perry,N/A,N/A,"4075 Ceramic Way, Crooksville, Ohio, 43731",(740) 982-7015,(740) 982-3086,N/A,N/A,N/A,N/A,N/A,N/A,Kevin Smith,kevinc.smith@crooksville.k12.oh.us,(740) 982-7015,045351,Crooksville Exempted Village
007849,Crosby Elementary School,Elementary School,K-5,Public School,School,Open,Hamilton,N/A,N/A,"8382 New Haven Rd, Harrison, Ohio, 45030",(513) 738-1717,(513) 738-1718,N/A,N/A,N/A,N/A,N/A,N/A,Kiersten Rogers,kiersten.rogers@southwestschools.org,(513) 379-6685,047381,Southwest Local
007856,Byrnedale Elementary School,Elementary School,K-8,Public School,School,Open,Lucas,N/A,cramsey@tps.org,"3635 Glendale Ave, Toledo, Ohio, 43614",(419) 671-2200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Christina Ramsey,cramsey@tps.org,(419) 343-3828,044909,Toledo City
007864,Crouse Community Learning Center,Elementary School,K-6,Public School,School,Open,Summit,www.akronschools.com,N/A,"1000 Diagonal Rd, Akron, Ohio, 44320",(330) 761-1625,(330) 761-1371,N/A,N/A,N/A,N/A,N/A,N/A,TARA Bruce,tgb27519@apslearns.org,(904) 307-4305,043489,Akron City
007898,Currie Elementary School,Elementary School,K-2,Public School,School,Open,Trumbull,N/A,N/A,"3306 Ridge Rd, Cortland, Ohio, 44410",(330) 637-2976,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Michael King,michael.king@mathewslocal.org,(330) 637-3500,050153,Mathews Local
007906,Brookfield Elementary School,Elementary School,K-4,Public School,School,Open,Trumbull,N/A,N/A,"614 Bedford Rd SE, Brookfield, Ohio, 44403",(330) 619-5240,(330) 619-5242,N/A,N/A,N/A,N/A,N/A,N/A,Mary Walker,mary.walker@neomin.org,(330) 619-5706,050120,Brookfield Local 
007930,Cuyahoga Falls High School,High School,9-12,Public School,School,Open,Summit,N/A,cf_bogdan@cfalls.org,"2300 4th St, Cuyahoga Falls, Ohio, 44221",(330) 926-3808,(330) 916-6013,N/A,N/A,N/A,N/A,N/A,N/A,Allison Bogdan,allibogs44@gmail.com,(330) 858-8909,043836,Cuyahoga Falls City
007948,Cuyahoga Hts Elementary School,Elementary School,"K-5,P",Public School,School,Open,Cuyahoga,N/A,N/A,"4880 E 71st St, Cuyahoga Heights, Ohio, 44125",(216) 429-5880,(216) 429-5883,N/A,N/A,N/A,N/A,N/A,N/A,Joy Houchen,jhouchen@cuyhts.org,(216) 429-5880,046557,Cuyahoga Heights Local
007955,Cuyahoga Hts High School,High School,9-12,Public School,School,Open,Cuyahoga,N/A,N/A,"4820 E 71st St, Cuyahoga Heights, Ohio, 44125",(216) 429-5707,N/A,N/A,N/A,N/A,N/A,N/A,N/A,William Young,MYoung@cuyhts.org,(216) 429-5707,046557,Cuyahoga Heights Local
007963,Elmwood Middle School,Middle School,5-8,Public School,School,Open,Wood,N/A,N/A,"7650 Jerry City Rd, Bloomdale, Ohio, 44817",(419) 655-2583,(419) 655-2153,N/A,N/A,N/A,N/A,N/A,N/A,Roger Frank,franr@elmwoodschools.org,(419) 655-2583,050682,Elmwood Local
007997,Dalton Elementary School,Elementary School,"K-4,P",Public School,School,Open,Wayne,N/A,N/A,"250 N Church St, Dalton, Ohio, 44618",(330) 828-2707,(330) 828-2802,N/A,N/A,N/A,N/A,N/A,N/A,Cherie Marthey,cmarthey@daltonlocal.org,N/A,050542,Dalton Local
008003,Dalton High School,High School,9-12,Public School,School,Open,Wayne,N/A,N/A,"177 Mill St N, Dalton, Ohio, 44618",(330) 828-2261,(330) 828-2904,N/A,N/A,N/A,N/A,N/A,N/A,Christopher Black,cblack@daltonlocal.org,(330) 828-2261,050542,Dalton Local
008029,Dan Emmett Elementary School,Elementary School,K-5,Public School,School,Open,Knox,N/A,N/A,"108 Mansfield Ave, Mount Vernon, Ohio, 43050",(740) 393-5950,(740) 393-5953,N/A,N/A,N/A,N/A,N/A,N/A,Margaret Arck,marck@mt-vernon.k12.oh.us,(740) 393-5950,044420,Mount Vernon City
008037,Starling PK-8,Elementary School,"P,K-8",Public School,School,Open,Franklin,N/A,N/A,"145 S Central Ave, Columbus, Ohio, 43222",(614) 365-5945,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Angela Tyler,amooretyler9496@columbus.k12.oh.us,(614) 476-4502,043802,Columbus City School District
008045,Danbury Elementary School,Elementary School,K-4,Public School,School,Open,Ottawa,www.danbury.k12.oh.us,humphreyd@danbury.k12.oh.us,"9451 E Harbor Rd, Lakeside Marblehead, Ohio, 43440",(419) 798-4081,(419) 798-2261,N/A,N/A,N/A,N/A,N/A,N/A,Daniel Humphrey Jr,humphreyd@danburyschools.org,(440) 225-9648,048934,Danbury Local
008052,Danbury High School,High School,9-12,Public School,School,Open,Ottawa,N/A,N/A,"9451 E Harbor Rd, Lakeside Marblehead, Ohio, 43440",(419) 798-4037,(419) 798-2262,N/A,N/A,N/A,N/A,N/A,N/A,Joseph Miller,millerj@danburyschools.org,(419) 656-3915,048934,Danbury Local
008060,Daniel E Morgan School,Elementary School,"P,K-8",Public School,School,Open,Cuyahoga,N/A,N/A,"8912 Morris Ct, Cleveland, Ohio, 44106",(216) 838-1400,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Dessie Sanders,Dessie.Sanders@clevelandmetroschools.org,(216) 561-0126,043786,Cleveland Municipal
008078,Danville Elementary School,Elementary School,K-5,Public School,School,Open,Knox,N/A,N/A,"205 Rambo St, Danville, Ohio, 43014",(740) 599-6116,(740) 599-5904,N/A,N/A,N/A,N/A,N/A,N/A,Tara Stringfellow-Bond,tara.bond@danvilleschools.org,(740) 390-0418,047837,Danville Local 
008086,Danville High School,High School,9-12,Public School,School,Open,Knox,N/A,N/A,"10 Rambo St, Danville, Ohio, 43014",(740) 599-6116,(740) 599-5418,N/A,N/A,N/A,N/A,N/A,N/A,Edward Honabarger,ed.honabarger@danvilleschools.org,(740) 599-6116,047837,Danville Local 
008102,Darbydale Elementary School,Elementary School,"H,K,1-4",Public School,School,Open,Franklin,N/A,N/A,"7000 London Groveport Rd, Grove City, Ohio, 43123",(614) 801-8050,(614) 801-8060,N/A,N/A,N/A,N/A,N/A,N/A,James Micciulla,james.micciulla@swcsd.us,(614) 746-4710,044800,South-Western City
008110,Gilbert A. Dater High School,High School,7-12,Public School,School,Open,Hamilton,N/A,N/A,"2146 Ferguson Rd, Cincinnati, Ohio, 45238",(513) 363-7200,(513) 363-7220,N/A,N/A,N/A,N/A,N/A,N/A,Stephen Sippel,sippels@cps-k12.org,N/A,043752,Cincinnati City
008136,David Anderson Jr/Sr High School,High School,6-12,Public School,School,Open,Columbiana,N/A,keith.edenfield@omeresa.net,"260 W Pine St, Lisbon, Ohio, 44432",(330) 424-3215,(330) 424-1004,N/A,N/A,N/A,N/A,N/A,N/A,Keith Edenfield,keith.edenfield@omeresa.net,(330) 506-7955,045450,Lisbon Exempted Village
008144,David Bacon School,Ungraded,Ung,Public School,School,Open,Summit,N/A,N/A,"181 Strecker Dr, Tallmadge, Ohio, 44278",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,044883,Tallmadge City
008151,David Smith Elementary School,Elementary School,K-5,Public School,School,Open,Delaware,WWW.DCS.K12.OH.US,N/A,"355 N Liberty St, Delaware, Ohio, 43015",(740) 833-1350,(740) 833-1399,N/A,N/A,N/A,N/A,N/A,N/A,Rochelle Thompson,thompsro@delawarecityschools.net,(740) 833-1351,043877,Delaware City
008185,Daw Elementary School,Elementary School,4-7,Public School,School,Open,Columbiana,N/A,bstellers@Wellsville.k12.oh.us,"929 Center St, Wellsville, Ohio, 43968",(330) 532-1372,(330) 532-6204,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,045039,Wellsville Local
008201,Primary Elementary School,Elementary School,"K-2,P",Public School,School,Open,Crawford,N/A,N/A,"478 Portland Way N, Galion, Ohio, 44833",(419) 468-4010,(419) 468-4333,N/A,N/A,N/A,N/A,N/A,N/A,Melisa Stone-Watters,watters.melisa@galionschools.org,(419) 610-9582,044024,Galion City
008219,Dawson-Bryant High School,High School,9-12,Public School,School,Open,Lawrence,N/A,dean.mader@db.k12.oh.us,"1 Hornet Ln, Coal Grove, Ohio, 45638",(740) 532-6345,(740) 533-6013,N/A,N/A,N/A,N/A,N/A,N/A,Dean Mader,dean.mader@db.k12.oh.us,(740) 532-6345,047928,Dawson-Bryant Local
008227,Dawson-Bryant Middle School,Middle School,6-8,Public School,School,Open,Lawrence,N/A,rick.roach@db.k12.oh.us,"1 Hornet Ln, Coal Grove, Ohio, 45638",(740) 532-1664,(740) 533-6003,N/A,N/A,N/A,N/A,N/A,N/A,Richard Roach,Rick.roach@db.k12.oh.us,(740) 532-6898,047928,Dawson-Bryant Local
008250,Deer Park  Jr/Sr High School,High School,7-12,Public School,School,Open,Hamilton,N/A,N/A,"8351 Plainfield Rd, Cincinnati, Ohio, 45236",(513) 891-0010,(513) 891-3845,N/A,N/A,N/A,N/A,N/A,N/A,Stacy Orso,orso.s@dpccsd.org,(513) 890-0010,043851,Deer Park Community City
008284,Dawson-Bryant Elementary School,Elementary School,K-5,Public School,School,Open,Lawrence,N/A,angie.dillow@db.k12.oh.us,"4503 State Route 243, Ironton, Ohio, 45638",(740) 532-6898,(740) 534-5582,N/A,N/A,N/A,N/A,N/A,N/A,Angela LaFon,angie.dillow@db.k12.oh.us,(740) 532-6898,047928,Dawson-Bryant Local
008292,Defiance Middle School,Middle School,6-8,Public School,School,Open,Defiance,N/A,N/A,"629 Arabella St, Defiance, Ohio, 43512",(419) 782-0050,(419) 782-4395,N/A,N/A,N/A,N/A,N/A,N/A,Richard Peters,rpeters@defcity.org,(419) 782-0050,043869,Defiance City
008300,Defiance High School,High School,9-12,Public School,School,Open,Defiance,N/A,N/A,"1755 Palmer Dr, Defiance, Ohio, 43512",(419) 784-2777,(419) 784-0102,N/A,N/A,N/A,N/A,N/A,N/A,Robert Morton,rmorton@defcity.org,(419) 784-2777,043869,Defiance City
008318,Delhi Middle School,Middle School,6-8,Public School,School,Open,Hamilton,N/A,N/A,"5280 Foley Rd, Cincinnati, Ohio, 45238",(513) 922-8400,(513) 922-8472,N/A,N/A,N/A,N/A,N/A,N/A,Scott Toon,toon_s@ohlsd.org,(513) 922-8400,047373,Oak Hills Local 
008326,Dellroy Elementary School,Elementary School,K-5,Public School,School,Open,Carroll,N/A,N/A,"34 Main St, Dellroy, Ohio, 44620",(330) 735-2850,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Darin Abel,darin.abel@carrolltonschools.org,N/A,045278,Carrollton Exempted Village
008334,Delta Elementary School,Elementary School,K-4,Public School,School,Open,Fulton,N/A,N/A,"1099 Panther Pride Drive, Delta, Ohio, 43515",(419) 822-5630,(419) 822-2828,N/A,N/A,N/A,N/A,N/A,N/A,Ellen Bernal,EBernal@pdys.org,(419) 351-8306,047084,Pike-Delta-York Local
008342,Pike-Delta-York High School,High School,9-12,Public School,School,Open,Fulton,N/A,N/A,"605 Taylor St, Delta, Ohio, 43515",(419) 822-8247,(419) 822-2826,N/A,N/A,N/A,N/A,N/A,N/A,Kristie Reighard,Kreighard@pdys.org,(419) 266-2677,047084,Pike-Delta-York Local
008359,Pike-Delta-York Middle School,Middle School,5-8,Public School,School,Open,Fulton,N/A,N/A,"1101 Panther Pride Dr, Delta, Ohio, 43515",(419) 822-9118,(419) 822-8490,N/A,N/A,N/A,N/A,N/A,N/A,Douglas Ford,dford@pdys.org,(419) 822-9118,047084,Pike-Delta-York Local
008375,Demmitt Elementary School,Elementary School,"K-3,P",Public School,School,Open,Montgomery,www.vandaliabutlerschools.org,N/A,"1010 E National Rd, Vandalia, Ohio, 45377",(937) 415-6500,(937) 415-6538,N/A,N/A,N/A,N/A,N/A,N/A,Garry Martin,garry.martin@vbcsd.com,(937) 415-6533,044958,Vandalia-Butler City
008383,Denison,Elementary School,K-8,Public School,School,Open,Cuyahoga,N/A,N/A,"3799 W 33rd St, Cleveland, Ohio, 44109",(216) 838-3250,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sonja Thornton-Clark,sonja.clark@clevelandmetroschools.org,(216) 486-1907,043786,Cleveland Municipal
008391,Dentzler Elementary School,Elementary School,K-4,Public School,School,Open,Cuyahoga,N/A,dzurnakr@parmacityschools.org,"3600 Dentzler Rd, Parma, Ohio, 44134",(440) 885-2430,(440) 885-3704,N/A,N/A,N/A,N/A,N/A,N/A,Renee Dzurnak,rrdzurnak@sbcglobal.net,(440) 221-8421,044636,Parma City
008409,Denver Place Elementary School,Elementary School,K-5,Public School,School,Open,Clinton,N/A,N/A,"291 Lorish Ave, Wilmington, Ohio, 45177",(937) 382-2380,(937) 382-2380,N/A,N/A,N/A,N/A,N/A,N/A,KAREN LONG,karen.long@wilmington.k12.oh.us,(513) 582-1527,045112,Wilmington City
008433,Patrick Henry High School,High School,9-12,Public School,School,Open,Henry,N/A,N/A,"6900 State Route 18, Hamler, Ohio, 43524",(419) 274-3015,(419) 274-1641,N/A,N/A,N/A,N/A,N/A,N/A,Joshua Biederstedt,jbiederstedt@phpatriots.org,(419) 274-3015,047597,Patrick Henry Local
008441,DeVeaux Elementary School,Elementary School,K-8,Public School,School,Open,Lucas,N/A,rschade@tps.org,"2620 W Sylvania Ave, Toledo, Ohio, 43613",(419) 671-3200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SHAUN Mitchell,smitchel2@tps.org,N/A,044909,Toledo City
008474,Devonshire Alternative Elementary School,Elementary School,"K-5,P",Public School,School,Open,Franklin,N/A,N/A,"6286 Ambleside Dr, Columbus, Ohio, 43229",(614) 365-5335,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Patricia Price,pprice@columbus.k12.oh.us,(614) 365-5521,043802,Columbus City School District
008490,Cleveland School of Arts Lower Campus,Elementary School,"P,K-8",Public School,School,Open,Cuyahoga,N/A,N/A,"2501 E 61st St, Cleveland, Ohio, 44104",(216) 838-9150,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Alisha Starks,alisha.starks@clevelandmetroschools.org,(216) 338-1905,043786,Cleveland Municipal
008508,West Muskingum Elementary School,Elementary School,K-4,Public School,School,Open,Muskingum,www.westmschools.org,N/A,"200 Kimes Rd, Zanesville, Ohio, 43701",(740) 455-4058,(740) 455-2592,N/A,N/A,N/A,N/A,N/A,N/A,Elizabeth Carpenter,bcarpenter@laca.org,(740) 454-2256,048884,West Muskingum Local
008532,Dixie High School,High School,9-12,Public School,School,Open,Montgomery,N/A,bwolgast@newlebanonschools.org,"300 S Fuls Rd, New Lebanon, Ohio, 45345",(937) 687-1366,(937) 687-7074,N/A,N/A,N/A,N/A,N/A,N/A,Brad Wolgast,brad.wolgast@newlebanonschools.org,(937) 687-1366,048710,New Lebanon Local
008540,Joshua Dixon Elementary School,Elementary School,"K-4,P",Public School,School,Open,Columbiana,N/A,N/A,"333 N Middle St, Columbiana, Ohio, 44408",(330) 482-5355,(330) 482-5358,N/A,N/A,N/A,N/A,N/A,N/A,Kimberly Sharshan,kim.sharshan@columbianaschools.org,(330) 482-5355,045328,Columbiana Exempted Village
008557,Eaton Middle School,Middle School,6-8,Public School,School,Open,Preble,N/A,N/A,"602 Hillcrest Dr, Eaton, Ohio, 45320",(937) 456-2286,(937) 456-2022,N/A,N/A,N/A,N/A,N/A,N/A,Derek Flatter,dflatter@eaton.k12.oh.us,(937) 456-1107,043935,Eaton Community City
008573,Dobbins Elementary School,Elementary School,3-4,Public School,School,Open,Mahoning,N/A,N/A,"3030 Dobbins Rd, Poland, Ohio, 44514",(330) 757-7011,(330) 757-2390,N/A,N/A,N/A,N/A,N/A,N/A,Michael Daley,MDaley@PolandSchools.org,(330) 757-7011,048348,Poland Local
008581,Dominion Middle School,Middle School,6-8,Public School,School,Open,Franklin,N/A,N/A,"330 E Dominion Blvd, Columbus, Ohio, 43214",(614) 365-6020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Dorothy Flanagan,dflanaga@columbus.k12.oh.us,(740) 881-1113,043802,Columbus City School District
008607,Donnell Middle School,Middle School,6-8,Public School,School,Open,Hancock,N/A,dwilliams@findlaycityschools.org,"200 W Main Cross St, Findlay, Ohio, 45840",(419) 425-8370,(419) 429-3764,N/A,N/A,N/A,N/A,N/A,N/A,Donald Williams,dwilliams@findlaycityschools.org,(419) 425-8240,043984,Findlay City
008615,Donnelsville Elementary School,Elementary School,2-3,Public School,School,Open,Clark,N/A,jay.burkholder@tecumsehlocal.org,"150 E. Main St, Donnelsville, Ohio, 45319",(937) 845-4540,(937) 845-4504,N/A,N/A,N/A,N/A,N/A,N/A,John Burkholder,jay.burkholder@tecumsehlocal.org,(937) 231-9992,046243,Tecumseh Local
008623,Dorothy E Lewis Elementary School,Elementary School,"K,1-4,UNG",Public School,School,Open,Cuyahoga,N/A,N/A,"32345 Cannon Rd, Solon, Ohio, 44139",(440) 349-6225,(440) 349-8012,N/A,N/A,N/A,N/A,N/A,N/A,Michael Acomb,mikeacomb@solonboe.org,(440) 349-6228,046607,Solon City
008649,Dorr Street Elementary School,Elementary School,K-5,Public School,School,Open,Lucas,N/A,N/A,"1205 King Rd, Toledo, Ohio, 43617",(419) 867-5666,(419) 867-5734,N/A,N/A,N/A,N/A,N/A,N/A,Cheri Copeland-Shull,chericopeland-shull@slsmail.net,N/A,048223,Springfield Local
008672,Johnstown Elementary School,Elementary School,K-5,Public School,School,Open,Licking,N/A,N/A,"200 Leafy Dell Road, Johnstown, Ohio, 43031",(740) 967-5461,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Janet Smith,smithpetro@aol.com,(740) 501-0033,047985,Johnstown-Monroe Local
008680,Memorial School,Elementary School,"P,K-8",Public School,School,Open,Cuyahoga,N/A,N/A,"410 E 152nd St, Cleveland, Ohio, 44110",(216) 838-0850,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Maria Dinkins,mazghms60@msn.com,(440) 429-0512,043786,Cleveland Municipal
008698,Frederick Douglass Elementary School,Elementary School,"K-6,P",Public School,School,Open,Hamilton,N/A,N/A,"2627 Park Ave, Cincinnati, Ohio, 45206",(513) 363-1900,(513) 363-1920,N/A,N/A,N/A,N/A,N/A,N/A,Jeffery Hall,halljef@cps-k12.org,(937) 854-0959,043752,Cincinnati City
008706,Dover Avenue Elementary School,Elementary School,K-5,Public School,School,Open,Tuscarawas,N/A,N/A,"125 W 13th St, Dover, Ohio, 44622",(330) 364-7117,(330) 343-7070,N/A,N/A,N/A,N/A,N/A,N/A,Renee Sattler,sattlerr@dovertornadoes.com,(330) 364-7117,043893,Dover City
008714,Dover Elementary School,Elementary School,K-4,Public School,School,Open,Cuyahoga,N/A,N/A,"2300 Dover Center Rd, Westlake, Ohio, 44145",(440) 835-6322,(440) 899-7407,N/A,N/A,N/A,N/A,N/A,N/A,Timothy Barrett,barrett@westlake.k12.oh.us,(440) 835-6322,045062,Westlake City
008722,Dover High School,High School,9-12,Public School,School,Open,Tuscarawas,N/A,N/A,"520 N Walnut St, Dover, Ohio, 44622",(330) 364-7148,(330) 343-7070,N/A,N/A,N/A,N/A,N/A,N/A,Teresa Alberts,albertst@dovertornadoes.com,(330) 364-7148,043893,Dover City
008730,Dowds Elementary School,Elementary School,K-4,Public School,School,Open,Richland,N/A,N/A,"18 Seneca Dr, Shelby, Ohio, 44875",(419) 342-4641,(419) 342-2825,N/A,N/A,N/A,N/A,N/A,N/A,Kristin Jones,jones.kristin@shelbyk12.org,(419) 342-4641,044776,Shelby City
008748,Chippewa Middle School,Middle School,5-8,Public School,School,Open,Wayne,N/A,chip_swatkins@tccsa.net,"257 High St, Doylestown, Ohio, 44230",(330) 658-2214,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Steven Watkins,chip_swatkins@tccsa.net,(330) 658-2214,050534,Chippewa Local
